"id","relacionados","name","description","precio","imagen","categorias","linkPago","subcategorias","oferta"
5000,"5016 5012 5008 5004 5001 4999 4998","COLCHA DOHLER PROVENCA QUEEN - BLANCO","7900033036522 COLCHA DOHLER TAMAÑO QUEEN SIZE - MATERIAL: 100% POLIESTER - GRAMAJE: 260G/M2 - INCLUYE: 1 COLCHA DE 240x250cm + 2 FUNDA 50x70cm.","3000.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/COLCHA_DOHLER_PROVENCA_QUEEN_-_BLANCO_0bed5e90-61a6-11f0-abb1-0242ac110002/0bec0f9a-61a6-11f0-abb1-0242ac110002.jpg","Cama",,,
4999,"5015 5011 5003 5001 5000 4998","COLCHA DOHLER PROVENCA FULL - BLANCO","7900033036614 COLCHA DOHLER TAMAÑO 2 PLAZAS - MATERIAL: 100% POLIESTER - GRAMAJE: 260G/M2 - INCLUYE: 1 COLCHA DE 220x250cm + 2 FUNDAS 50x70cm.","2775.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/COLCHA_DOHLER_PROVENCA_FULL_-_BLANCO_e1969490-61a5-11f0-8f94-0242ac110002/e195231c-61a5-11f0-8f94-0242ac110002.jpg","Cama",,,
4998,"5014 5010 5002 5001 5000 4999","COLCHA DOHLER PROVENCA TWIN - BLANCO","7900033036676 COLCHA DOHLER TAMAÑO 1 PLAZA - MATERIAL: 100% POLIESTER - GRAMAJE: 260G/M2 - INCLUYE: 1 COLCHA DE 160x250cm + 1 FUNDA 50x70cm.","1950.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/COLCHA_DOHLER_PROVENCA_TWIN_-_BLANCO_bcc9060c-61a5-11f0-9674-0242ac110002/bcc793ee-61a5-11f0-9674-0242ac110002.jpg","Cama",,,
4997,,"PARAGUAS STITCH CELESTE","7730784168445 ""PARAGUAS INFANTIL - TAMAÑO: 90cm DE DIAMETRO. SE ABRE FÁCIL CON BOTÓN.""","675.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/PARAGUAS_STITCH_CELESTE_04753496-60e6-11f0-abb1-0242ac110002/0473384e-60e6-11f0-abb1-0242ac110002.jpg","Infantil",,,
4996,,"PARAGUAS SPIDER NEGRO","7730784168438 ""PARAGUAS INFANTIL - TAMAÑO: 90cm DE DIAMETRO. SE ABRE FÁCIL CON BOTÓN.""","675.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/PARAGUAS_SPIDER_NEGRO_da574dac-60e5-11f0-8f94-0242ac110002/da550510-60e5-11f0-8f94-0242ac110002.jpg","Infantil",,,
4995,,"PARAGUAS PAW PATROL MASC ROJO","7730784168384 ""PARAGUAS INFANTIL - TAMAÑO: 90cm DE DIAMETRO. SE ABRE FÁCIL CON BOTÓN.""","675.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/PARAGUAS_PAW_PATROL_MASC_ROJO_af76759a-60e5-11f0-abb1-0242ac110002/af74d9ce-60e5-11f0-abb1-0242ac110002.jpg","Infantil",,,
4994,,"PARAGUAS MICKEY AZUL","7730784168407 ""PARAGUAS INFANTIL - TAMAÑO: 90cm DE DIAMETRO. SE ABRE FÁCIL CON BOTÓN.""","675.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/PARAGUAS_MICKEY_AZUL_8d60814e-60e5-11f0-abb1-0242ac110002/8d5ef338-60e5-11f0-abb1-0242ac110002.jpg","Infantil",,,
4993,,"PARAGUAS GABBY ROSA","7730784168421 ""PARAGUAS INFANTIL - TAMAÑO: 90cm DE DIAMETRO. SE ABRE FÁCIL CON BOTÓN.""","675.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/PARAGUAS_GABBY_ROSA_692945c2-60e5-11f0-abb1-0242ac110002/6927a050-60e5-11f0-abb1-0242ac110002.jpg","Infantil",,,
4992,,"PARAGUAS FROZEN MENTA","7730784168414 ""PARAGUAS INFANTIL - TAMAÑO: 90cm DE DIAMETRO. SE ABRE FÁCIL CON BOTÓN.""","675.00","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/PARAGUAS_FROZEN_MENTA_46739320-60e5-11f0-abb1-0242ac110002/467203f2-60e5-11f0-abb1-0242ac110002.jpg","Infantil",,,
3338,"4991","VASO SHAKE 500 ML PEÑAROL","7899808808085 VASO DE PLASTICO DE 500 ML CON TAPA Y SORBITO. MEDIDAS: 9,6 x 9.2 x 23.3cm. BPA FREE.","127.50","https://nuve-s3-dev.s3.amazonaws.com/media/public/product_images/VASO_SHAKE_500_ML_PE%C3%91AROL_2c7fda46-60c7-11f0-abb1-0242ac110002/Imagen_de_WhatsApp_2025-07-14_a_las_12.23.32_8aaca9a9.jpg","Infantil",,,
